experiment,judge_pass,case_id,control_1,control_2,control_3,control_4,control_5,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5
evidence_topk,strict_2,case_11,1,1,1,1,1,1,1,1,1,1
evidence_topk,strict_2,case_12,0,1,1,1,0,0,1,1,1,1
facet_prompt,strict_1,case_01,1,1,1,1,1,0,1,1,1,1
facet_prompt,strict_1,case_02,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_1,case_03,1,1,0,1,1,0,1,1,1,0
facet_prompt,strict_1,case_04,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_1,case_05,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_1,case_06,0,1,1,1,0,1,1,0,0,0
facet_prompt,strict_1,case_07,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_1,case_08,0,0,0,0,0,0,0,0,0,0
facet_prompt,strict_1,case_09,0,0,0,0,1,0,0,0,1,0
facet_prompt,strict_1,case_10,0,0,0,0,0,0,0,0,0,0
facet_prompt,strict_1,case_11,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_1,case_12,0,1,1,1,0,0,0,1,0,1
facet_prompt,strict_2,case_01,1,1,1,1,1,0,1,1,1,1
facet_prompt,strict_2,case_02,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_2,case_03,1,1,0,1,1,0,1,1,1,0
facet_prompt,strict_2,case_04,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_2,case_05,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_2,case_06,0,1,1,1,0,1,1,0,0,0
facet_prompt,strict_2,case_07,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_2,case_08,0,0,0,0,0,0,0,0,0,0
facet_prompt,strict_2,case_09,0,0,0,0,1,0,0,0,0,0
facet_prompt,strict_2,case_10,0,0,0,0,0,0,0,0,0,0
facet_prompt,strict_2,case_11,1,1,1,1,1,1,1,1,1,1
facet_prompt,strict_2,case_12,0,1,1,1,0,0,0,1,0,1
retrieval_loop,strict_1,case_01,1,1,1,1,1,1,1,1,1,1
retrieval_loop,strict_1,case_02,1,1,1,1,1,1,1,1,1,1
retrieval_loop,strict_1,case_03,1,1,0,1,1,0,1,1,0,0
retrieval_loop,strict_1,case_04,1,1,1,1,1,1,1,1,1,1
retrieval_loop,strict_1,case_05,1,1,1,1,1,1,1,1,1,1
retrieval_loop,strict_1,case_06,0,1,1,1,0,0,0,1,1,0
retrieval_loop,strict_1,case_07,1,1,1,1,1,1,1,1,1,1
retrieval_loop,strict_1,case_08,0,0,0,0,0,0,0,0,0,0
retrieval_loop,strict_1,case_09,0,0,0,0,1,1,1,1,1,1
retrieval_loop,strict_1,case_10,0,0,0,0,0,0,0,0,0,0
retrieval_loop,strict_1,case_11,1,1,1,1,1,1,1,1,1,1
retrieval_loop,strict_1,case_12,0,1,1,1,0,1,1,1,1,1
